epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,901.95,0.58016,0.85324,0.56492,1.02061,0.76585,0.71537,0.76751,0.64311,0.78206,0.70209,0.76516,0.61595,0.68066,1.35306,0.99325,0.98275,0.0014258,0.0014258,0.0014258
31,930.276,0.56156,0.81264,0.54543,1.02204,0.79059,0.71917,0.76848,0.64404,0.78642,0.71537,0.76015,0.60319,0.69323,1.38078,0.99728,0.99482,0.001406,0.001406,0.001406
32,959.069,0.58215,0.82214,0.54613,1.02078,0.81633,0.74216,0.79941,0.68526,0.81799,0.74194,0.80094,0.65349,0.64817,1.30906,0.93234,0.95223,0.0013862,0.0013862,0.0013862
33,988.089,0.57612,0.83409,0.55585,1.03371,0.84441,0.70398,0.76562,0.64146,0.83768,0.71157,0.76735,0.6168,0.69898,1.33995,1.05957,0.97868,0.0013664,0.0013664,0.0013664
34,1018.4,0.58222,0.86539,0.55915,1.06656,0.82811,0.73624,0.8065,0.69567,0.82384,0.73245,0.80225,0.65909,0.63987,1.31752,0.92449,0.93961,0.0013466,0.0013466,0.0013466
35,1046.84,0.56014,0.82479,0.53748,1.01898,0.81197,0.75712,0.79816,0.68766,0.81258,0.75522,0.79845,0.65641,0.66028,1.24821,0.94808,0.95932,0.0013268,0.0013268,0.0013268
36,1079.66,0.57045,0.8391,0.54275,1.03429,0.8085,0.75522,0.79008,0.66979,0.81053,0.75712,0.79476,0.65584,0.68863,1.22421,0.97109,0.98255,0.001307,0.001307,0.001307
37,1108.36,0.55401,0.80723,0.52345,1.01716,0.7991,0.74383,0.80295,0.66612,0.83161,0.71537,0.7956,0.64906,0.70279,1.30152,0.97317,1.01158,0.0012872,0.0012872,0.0012872
38,1136.56,0.56907,0.77941,0.53301,1.02569,0.8304,0.75256,0.79903,0.68045,0.80787,0.75798,0.80055,0.65054,0.65181,1.18039,0.94016,0.96475,0.0012674,0.0012674,0.0012674
39,1165.12,0.54472,0.79512,0.51293,1.00792,0.79871,0.75712,0.79694,0.66689,0.78843,0.75142,0.79427,0.63147,0.68221,1.28705,0.92648,0.97441,0.0012476,0.0012476,0.0012476
40,1193.8,0.54436,0.77102,0.52221,1.00823,0.83889,0.74573,0.81202,0.69543,0.84729,0.74383,0.81286,0.67186,0.64912,1.2105,0.87048,0.95236,0.0012278,0.0012278,0.0012278
41,1222.56,0.53615,0.73064,0.49666,1.00002,0.84624,0.73814,0.79022,0.68012,0.84624,0.73814,0.79037,0.66084,0.66131,1.28352,0.99293,0.97227,0.001208,0.001208,0.001208
