epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,377.106,0.64159,0.8675,0.60853,0.98966,0.81285,0.76986,0.7998,0.66265,0.81006,0.76721,0.79397,0.65001,0.70386,1.36559,0.92305,0.98004,0.0014258,0.0014258,0.0014258
31,389.687,0.63525,0.87458,0.60877,0.98248,0.79093,0.7606,0.78436,0.65064,0.78986,0.7619,0.7792,0.60578,0.71696,1.38817,0.96494,0.97645,0.001406,0.001406,0.001406
32,402.461,0.60198,0.81406,0.57436,0.97118,0.83156,0.74447,0.80138,0.6635,0.83176,0.74549,0.79952,0.64185,0.72305,1.40292,1.00962,0.99114,0.0013862,0.0013862,0.0013862
33,415.322,0.62258,0.88478,0.58848,0.98807,0.83419,0.78526,0.81497,0.67248,0.84254,0.79271,0.82171,0.6585,0.72042,1.38739,0.94804,1.00266,0.0013664,0.0013664,0.0013664
34,428.226,0.62734,0.82808,0.57299,0.97447,0.841,0.75661,0.80991,0.67202,0.84352,0.75926,0.8128,0.6565,0.71602,1.36446,0.91909,0.97384,0.0013466,0.0013466,0.0013466
35,440.636,0.62743,0.83108,0.57047,0.98086,0.87821,0.78307,0.81732,0.67738,0.88097,0.78322,0.81936,0.65854,0.72581,1.36684,0.91518,0.98057,0.0013268,0.0013268,0.0013268
36,453.209,0.6261,0.84122,0.56372,0.98041,0.84039,0.74603,0.81113,0.6705,0.83668,0.74339,0.80804,0.65584,0.71411,1.38587,0.93373,0.96406,0.001307,0.001307,0.001307
37,465.671,0.61473,0.81989,0.56819,0.97979,0.80285,0.73545,0.78288,0.64521,0.79746,0.73545,0.78539,0.60611,0.73221,1.42987,1.01711,1.00071,0.0012872,0.0012872,0.0012872
38,478.17,0.60281,0.80418,0.55704,0.97128,0.83227,0.72198,0.79903,0.66295,0.83256,0.72347,0.7984,0.638,0.69589,1.48907,0.99461,0.97931,0.0012674,0.0012674,0.0012674
39,490.781,0.61181,0.82492,0.55247,0.97159,0.79762,0.74029,0.7733,0.64467,0.81258,0.72261,0.77221,0.61955,0.68428,1.51649,0.95705,0.96789,0.0012476,0.0012476,0.0012476
40,503.153,0.62438,0.82784,0.57955,0.98655,0.83816,0.74603,0.80439,0.6792,0.83424,0.74339,0.79729,0.66288,0.68555,1.34747,0.94631,0.98074,0.0012278,0.0012278,0.0012278
41,515.589,0.61152,0.80356,0.54425,0.9762,0.77976,0.7963,0.79017,0.65704,0.78471,0.80159,0.79473,0.64393,0.67737,1.25013,0.90953,0.96283,0.001208,0.001208,0.001208
42,528.006,0.60514,0.81404,0.53632,0.9713,0.85821,0.7672,0.8169,0.68233,0.85526,0.76455,0.80848,0.66195,0.67076,1.26703,0.9057,0.96601,0.0011882,0.0011882,0.0011882
43,540.467,0.61645,0.81393,0.53785,0.98316,0.8427,0.76532,0.78924,0.66182,0.84567,0.76832,0.791,0.63791,0.70554,1.32865,0.98418,0.97742,0.0011684,0.0011684,0.0011684
44,552.88,0.589,0.807,0.52865,0.9756,0.86315,0.77249,0.8199,0.68746,0.86611,0.77513,0.82338,0.66723,0.70003,1.37009,0.94763,0.97813,0.0011486,0.0011486,0.0011486
45,565.429,0.58397,0.77972,0.51672,0.9692,0.88442,0.74903,0.82435,0.68501,0.88755,0.75167,0.82801,0.66556,0.69167,1.41004,0.88413,0.96974,0.0011288,0.0011288,0.0011288
46,578.102,0.57313,0.78721,0.49927,0.95126,0.84614,0.80016,0.8288,0.69663,0.84912,0.80395,0.83265,0.68047,0.66731,1.36651,0.95355,0.97333,0.001109,0.001109,0.001109
47,590.646,0.56876,0.76929,0.49086,0.94355,0.87038,0.74603,0.81893,0.69281,0.8673,0.74339,0.81578,0.66565,0.66571,1.41619,0.86183,0.97599,0.0010892,0.0010892,0.0010892
48,603.026,0.57402,0.79343,0.50995,0.95259,0.84502,0.77249,0.81393,0.68459,0.8552,0.77513,0.81744,0.66338,0.64699,1.23842,0.86101,0.96906,0.0010694,0.0010694,0.0010694
49,615.355,0.56872,0.77662,0.48717,0.96547,0.84642,0.78571,0.82837,0.69427,0.85027,0.79622,0.83049,0.67483,0.64173,1.26527,0.87368,0.95018,0.0010496,0.0010496,0.0010496
50,627.792,0.57785,0.77275,0.50473,0.97207,0.82361,0.80159,0.82194,0.69784,0.82931,0.80423,0.8273,0.67111,0.67451,1.33464,0.82669,0.96723,0.0010298,0.0010298,0.0010298
51,640.257,0.56324,0.75347,0.51309,0.95319,0.8347,0.78571,0.83648,0.70404,0.8347,0.78571,0.83159,0.68455,0.67171,1.23612,0.82938,0.96741,0.00101,0.00101,0.00101
52,652.802,0.57962,0.76603,0.5066,0.96522,0.82105,0.80111,0.8454,0.71458,0.82105,0.80111,0.84258,0.67902,0.64481,1.36722,0.8046,0.95083,0.0009902,0.0009902,0.0009902
53,665.22,0.54704,0.74698,0.50239,0.94618,0.84119,0.7427,0.80739,0.68933,0.84119,0.7427,0.80687,0.64997,0.64567,1.36023,0.87752,0.959,0.0009704,0.0009704,0.0009704
54,677.693,0.55662,0.77709,0.4835,0.95867,0.81563,0.79585,0.82161,0.6971,0.804,0.80159,0.81666,0.67468,0.65597,1.30439,0.90302,0.96533,0.0009506,0.0009506,0.0009506
55,690.051,0.57408,0.76486,0.50306,0.96386,0.84818,0.79809,0.83641,0.72371,0.84694,0.80514,0.84143,0.69293,0.63799,1.33765,0.81354,0.95251,0.0009308,0.0009308,0.0009308
56,702.431,0.54737,0.78572,0.49069,0.95179,0.8618,0.78042,0.82836,0.70737,0.86472,0.78307,0.8332,0.67354,0.66012,1.3107,0.87128,0.96502,0.000911,0.000911,0.000911
57,714.967,0.54573,0.71585,0.47394,0.94236,0.8434,0.78307,0.82507,0.70635,0.8491,0.78836,0.83003,0.68541,0.64288,1.31903,0.91798,0.95333,0.0008912,0.0008912,0.0008912
58,727.665,0.54099,0.72542,0.48112,0.9509,0.89732,0.73982,0.82863,0.70812,0.90362,0.74603,0.83232,0.67299,0.64389,1.31286,0.86531,0.96604,0.0008714,0.0008714,0.0008714
59,739.984,0.53356,0.69607,0.46742,0.93913,0.84024,0.79894,0.84067,0.72093,0.84024,0.79894,0.83555,0.68495,0.63114,1.223,0.79451,0.95367,0.0008516,0.0008516,0.0008516
60,752.326,0.51134,0.69141,0.44825,0.92586,0.89093,0.74868,0.83222,0.71149,0.83716,0.80242,0.82633,0.67724,0.65352,1.33707,0.86593,0.96642,0.0008318,0.0008318,0.0008318
61,764.724,0.53845,0.74234,0.4681,0.93996,0.87678,0.75926,0.81509,0.70605,0.87355,0.75661,0.80884,0.64471,0.63945,1.44832,0.88207,0.94943,0.000812,0.000812,0.000812
62,777.047,0.53545,0.70639,0.46462,0.93984,0.84509,0.79894,0.8237,0.7078,0.84789,0.80159,0.82473,0.68294,0.63997,1.24809,0.87678,0.95887,0.0007922,0.0007922,0.0007922
63,789.438,0.52589,0.71569,0.4511,0.93979,0.87711,0.77513,0.83195,0.7156,0.87711,0.77513,0.83367,0.69154,0.64354,1.25218,0.83055,0.96513,0.0007724,0.0007724,0.0007724
64,801.982,0.51035,0.70944,0.44112,0.92855,0.83626,0.75665,0.79009,0.68072,0.80953,0.78571,0.78615,0.64352,0.63152,1.30901,0.91172,0.96063,0.0007526,0.0007526,0.0007526
65,814.307,0.50041,0.68714,0.43271,0.92975,0.88146,0.74757,0.83055,0.71311,0.86109,0.77078,0.83282,0.68474,0.64034,1.22053,0.86513,0.95004,0.0007328,0.0007328,0.0007328
66,826.887,0.51061,0.68381,0.4531,0.93148,0.87106,0.77778,0.81964,0.71023,0.86809,0.78341,0.82556,0.68558,0.62004,1.21511,0.87254,0.93226,0.000713,0.000713,0.000713
67,839.289,0.52146,0.70671,0.44453,0.939,0.90929,0.74257,0.83602,0.71977,0.90605,0.73993,0.83216,0.69962,0.65131,1.23072,0.87276,0.96517,0.0006932,0.0006932,0.0006932
68,851.673,0.51504,0.66891,0.44104,0.93636,0.85665,0.77469,0.83067,0.71104,0.85665,0.77469,0.83268,0.68992,0.62776,1.20933,0.83825,0.94942,0.0006734,0.0006734,0.0006734
69,863.87,0.51118,0.70651,0.44879,0.94077,0.82991,0.78307,0.8217,0.69947,0.82991,0.78307,0.82246,0.68536,0.62956,1.30546,0.91697,0.94717,0.0006536,0.0006536,0.0006536
70,876.477,0.51089,0.66994,0.43523,0.93236,0.8509,0.75486,0.81955,0.69829,0.85737,0.7633,0.82493,0.67403,0.63547,1.3727,0.94515,0.96967,0.0006338,0.0006338,0.0006338
71,889.048,0.50282,0.6612,0.43781,0.93207,0.87193,0.76455,0.83542,0.72682,0.87193,0.76455,0.83818,0.70048,0.61553,1.32183,0.87545,0.94431,0.000614,0.000614,0.000614
72,901.779,0.5036,0.66884,0.43735,0.93312,0.86126,0.77188,0.82824,0.7209,0.83312,0.80952,0.83593,0.68463,0.60093,1.26044,0.82022,0.93743,0.0005942,0.0005942,0.0005942
73,914.39,0.48043,0.65511,0.41653,0.92191,0.87947,0.77513,0.83644,0.72375,0.87647,0.77249,0.83687,0.69407,0.62797,1.2579,0.85002,0.95828,0.0005744,0.0005744,0.0005744
74,926.917,0.50582,0.66853,0.42592,0.9328,0.89273,0.77249,0.84254,0.72428,0.89273,0.77249,0.8449,0.70052,0.62362,1.23047,0.81018,0.95551,0.0005546,0.0005546,0.0005546
75,939.472,0.47803,0.65731,0.40358,0.92285,0.91106,0.75397,0.83079,0.71862,0.91106,0.75397,0.83293,0.68828,0.62533,1.22325,0.88014,0.94766,0.0005348,0.0005348,0.0005348
76,952.314,0.48876,0.67236,0.40447,0.92605,0.85962,0.77758,0.82404,0.71486,0.86254,0.78022,0.82571,0.67863,0.62117,1.26054,0.92519,0.94876,0.000515,0.000515,0.000515
77,964.989,0.49911,0.67812,0.40859,0.92913,0.86447,0.7619,0.83695,0.72096,0.8492,0.77468,0.83113,0.68125,0.62413,1.2608,0.87841,0.94718,0.0004952,0.0004952,0.0004952
78,977.525,0.49354,0.65052,0.41562,0.92061,0.89466,0.74142,0.84557,0.73824,0.89146,0.73878,0.83929,0.70312,0.6156,1.24315,0.84909,0.94989,0.0004754,0.0004754,0.0004754
79,990.076,0.49934,0.70138,0.41804,0.93502,0.88727,0.74961,0.83671,0.72935,0.8904,0.75225,0.83842,0.69425,0.60742,1.25497,0.86235,0.9383,0.0004556,0.0004556,0.0004556
80,1002.71,0.47673,0.65256,0.39521,0.92117,0.88791,0.74868,0.84149,0.7442,0.85114,0.78658,0.8433,0.70431,0.58342,1.16544,0.82439,0.92699,0.0004358,0.0004358,0.0004358
81,1015.2,0.47874,0.6548,0.41084,0.92436,0.90084,0.74868,0.83913,0.73065,0.90084,0.74868,0.84232,0.69571,0.60062,1.23323,0.85276,0.94435,0.000416,0.000416,0.000416
82,1027.91,0.47742,0.64601,0.40637,0.925,0.91051,0.75926,0.84347,0.73354,0.90684,0.75661,0.83701,0.69829,0.61314,1.26623,0.84172,0.95074,0.0003962,0.0003962,0.0003962
83,1040.25,0.47618,0.62896,0.39042,0.92096,0.85989,0.7956,0.84308,0.73519,0.85989,0.7956,0.84441,0.71133,0.61289,1.23351,0.84897,0.95383,0.0003764,0.0003764,0.0003764
84,1052.58,0.46104,0.62525,0.40428,0.91003,0.87744,0.78571,0.83763,0.73299,0.87744,0.78571,0.84003,0.70164,0.60027,1.29612,0.86401,0.94173,0.0003566,0.0003566,0.0003566
85,1064.76,0.46501,0.62639,0.38741,0.91965,0.87304,0.78227,0.83998,0.73539,0.87304,0.78227,0.84324,0.7019,0.60561,1.30166,0.85441,0.9384,0.0003368,0.0003368,0.0003368
86,1077.07,0.4668,0.64057,0.37825,0.92347,0.87912,0.78836,0.83929,0.73014,0.87617,0.78571,0.8334,0.70647,0.61786,1.23746,0.87131,0.94495,0.000317,0.000317,0.000317
87,1089.48,0.45376,0.6416,0.39269,0.91024,0.91636,0.75356,0.84078,0.72948,0.91636,0.75356,0.84509,0.69996,0.60742,1.22379,0.8392,0.94527,0.0002972,0.0002972,0.0002972
88,1101.94,0.45475,0.63203,0.37849,0.91156,0.86994,0.77858,0.83908,0.73236,0.86994,0.77858,0.84159,0.69736,0.5962,1.27038,0.84892,0.93909,0.0002774,0.0002774,0.0002774
89,1114.24,0.44112,0.61281,0.38164,0.90155,0.89485,0.76549,0.84353,0.73941,0.89485,0.76549,0.84756,0.7052,0.60349,1.28182,0.84201,0.94738,0.0002576,0.0002576,0.0002576
90,1126.62,0.44971,0.65481,0.36864,0.90919,0.84848,0.7963,0.8433,0.73947,0.84848,0.7963,0.84748,0.70731,0.5957,1.31872,0.84693,0.94134,0.0002378,0.0002378,0.0002378
91,1142.53,0.39724,0.5411,0.35559,0.88946,0.8693,0.77418,0.83567,0.72018,0.8693,0.77418,0.83876,0.69194,0.61287,1.37736,0.91334,0.94815,0.000218,0.000218,0.000218
92,1154,0.39042,0.54226,0.32585,0.87648,0.91,0.75132,0.84122,0.73125,0.91,0.75132,0.8442,0.70616,0.59592,1.34625,0.84578,0.9473,0.0001982,0.0001982,0.0001982
93,1165.33,0.38084,0.52403,0.30821,0.88426,0.88086,0.77778,0.83734,0.72841,0.88086,0.77778,0.83986,0.69553,0.60605,1.30936,0.82971,0.95083,0.0001784,0.0001784,0.0001784
94,1177.15,0.37767,0.52477,0.30149,0.86959,0.88598,0.76455,0.83869,0.72518,0.85561,0.78382,0.84167,0.70134,0.61256,1.29627,0.83924,0.96468,0.0001586,0.0001586,0.0001586
95,1188.83,0.37771,0.51075,0.29735,0.87803,0.89203,0.7619,0.84195,0.72892,0.89203,0.7619,0.84369,0.70304,0.61523,1.31207,0.8441,0.95954,0.0001388,0.0001388,0.0001388
96,1200.39,0.37345,0.50613,0.29223,0.88171,0.89157,0.76132,0.84265,0.73177,0.89157,0.76132,0.8461,0.70525,0.61716,1.30488,0.85405,0.96369,0.000119,0.000119,0.000119
97,1211.82,0.36123,0.49626,0.29466,0.8698,0.89719,0.76187,0.84185,0.73442,0.89719,0.76187,0.84573,0.70491,0.61526,1.31042,0.86996,0.95729,9.92e-05,9.92e-05,9.92e-05
98,1223.46,0.3744,0.5138,0.30062,0.88109,0.86905,0.77249,0.84167,0.73379,0.85861,0.78307,0.84535,0.70061,0.6347,1.32097,0.87176,0.96911,7.94e-05,7.94e-05,7.94e-05
99,1234.9,0.35821,0.50338,0.28531,0.87653,0.8815,0.76753,0.84291,0.7331,0.88174,0.76926,0.84517,0.70309,0.63027,1.31466,0.86645,0.96754,5.96e-05,5.96e-05,5.96e-05
100,1246.58,0.36206,0.49628,0.28259,0.86471,0.86686,0.77513,0.8425,0.73413,0.86686,0.77513,0.84463,0.70233,0.6146,1.31966,0.85945,0.95609,3.98e-05,3.98e-05,3.98e-05
