epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,913.952,0.84744,0.64706,1.18012,0.87742,0.845,0.89097,0.60245,1.06968,0.74077,1.35366,0.0011684,0.0011684,0.0011684
44,944.876,0.88398,0.66268,1.19004,0.89405,0.82441,0.91275,0.65477,0.9855,0.63849,1.29258,0.0011486,0.0011486,0.0011486
45,975.203,0.87108,0.65528,1.18167,0.90535,0.82361,0.92176,0.66273,1.00343,0.65021,1.30772,0.0011288,0.0011288,0.0011288
46,1006.02,0.85036,0.63623,1.18035,0.90868,0.83709,0.91696,0.66059,0.99354,0.6611,1.29965,0.001109,0.001109,0.001109
47,1036.78,0.86017,0.63007,1.18087,0.89385,0.86024,0.92136,0.66764,1.00184,0.63087,1.30306,0.0010892,0.0010892,0.0010892
48,1067.52,0.85122,0.62577,1.17684,0.91298,0.85889,0.93041,0.66739,1.00664,0.60645,1.3047,0.0010694,0.0010694,0.0010694
49,1098.05,0.84426,0.63907,1.16904,0.90089,0.83868,0.92524,0.67168,0.97774,0.60744,1.28933,0.0010496,0.0010496,0.0010496
50,1128.79,0.84514,0.618,1.16759,0.92224,0.83684,0.92477,0.65645,1.00787,0.6224,1.30297,0.0010298,0.0010298,0.0010298
51,1159.31,0.82974,0.61533,1.17195,0.91139,0.80942,0.89935,0.64101,0.97861,0.65216,1.30011,0.00101,0.00101,0.00101
52,1190.15,0.84074,0.60641,1.16202,0.91057,0.86703,0.93761,0.69004,0.94292,0.59251,1.2577,0.0009902,0.0009902,0.0009902
53,1220.87,0.81543,0.5894,1.16118,0.91108,0.84804,0.92057,0.66465,0.97611,0.60785,1.27614,0.0009704,0.0009704,0.0009704
54,1251.53,0.83085,0.6121,1.16197,0.89004,0.85662,0.92106,0.67229,0.97114,0.6319,1.28011,0.0009506,0.0009506,0.0009506
55,1281.94,0.81985,0.6011,1.15826,0.87593,0.88467,0.93253,0.68593,0.93648,0.58284,1.25437,0.0009308,0.0009308,0.0009308
56,1312.45,0.80195,0.58856,1.14944,0.91657,0.83479,0.93128,0.68437,0.93888,0.58668,1.24916,0.000911,0.000911,0.000911
57,1343.22,0.80513,0.58063,1.14981,0.89023,0.86932,0.92493,0.68699,0.93803,0.5894,1.24059,0.0008912,0.0008912,0.0008912
58,1373.94,0.7999,0.56957,1.13926,0.89648,0.86431,0.93222,0.67966,0.94585,0.59506,1.26494,0.0008714,0.0008714,0.0008714
59,1404.99,0.79925,0.56928,1.1374,0.90744,0.8711,0.93751,0.68936,0.94175,0.57285,1.26583,0.0008516,0.0008516,0.0008516
60,1435.92,0.79348,0.57724,1.1449,0.90514,0.86748,0.93356,0.68338,0.95842,0.59313,1.2759,0.0008318,0.0008318,0.0008318
61,1466.51,0.78791,0.57623,1.13725,0.88443,0.88264,0.93814,0.68132,0.96225,0.57996,1.26788,0.000812,0.000812,0.000812
62,1497.29,0.80114,0.5699,1.14862,0.91054,0.8616,0.93418,0.68862,0.93745,0.57885,1.24538,0.0007922,0.0007922,0.0007922
63,1528.14,0.77211,0.54958,1.12191,0.92012,0.86431,0.93925,0.68346,0.9767,0.55898,1.28598,0.0007724,0.0007724,0.0007724
64,1558.89,0.7952,0.56557,1.1366,0.8929,0.89362,0.93979,0.68143,0.92779,0.56333,1.24678,0.0007526,0.0007526,0.0007526
65,1589.66,0.77603,0.54935,1.13585,0.8958,0.87653,0.9395,0.69331,0.94514,0.55243,1.25273,0.0007328,0.0007328,0.0007328
66,1620.74,0.77168,0.55843,1.12693,0.90404,0.8806,0.94133,0.69833,0.93355,0.5692,1.24774,0.000713,0.000713,0.000713
67,1651.54,0.77244,0.54872,1.12625,0.89795,0.87924,0.93608,0.68101,0.9498,0.56958,1.27663,0.0006932,0.0006932,0.0006932
68,1682.28,0.76215,0.53429,1.12169,0.89455,0.88629,0.93195,0.68948,0.94154,0.56407,1.2515,0.0006734,0.0006734,0.0006734
69,1712.93,0.77217,0.54452,1.12477,0.90226,0.88934,0.93103,0.68389,0.91434,0.55383,1.22825,0.0006536,0.0006536,0.0006536
70,1743.64,0.73637,0.53461,1.10845,0.91755,0.87788,0.93889,0.69871,0.91929,0.55755,1.23475,0.0006338,0.0006338,0.0006338
