epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,506.482,0.58032,0.79507,0.54966,1.00001,0.77077,0.78894,0.80102,0.67871,0.7753,0.78643,0.7988,0.65366,0.66485,1.30701,1.02875,0.95591,0.0014258,0.0014258,0.0014258
31,523.135,0.57546,0.83669,0.51852,0.98981,0.81818,0.78643,0.81626,0.67283,0.81556,0.78392,0.81594,0.65489,0.7288,1.27945,0.85653,0.97962,0.001406,0.001406,0.001406
32,539.478,0.5709,0.75262,0.52185,0.9857,0.85709,0.74372,0.81066,0.669,0.85709,0.74372,0.81437,0.6446,0.71746,1.27588,0.91628,0.9863,0.0013862,0.0013862,0.0013862
33,556.136,0.56308,0.76331,0.505,0.98301,0.82503,0.73869,0.77252,0.64924,0.82823,0.74121,0.77233,0.62609,0.72758,1.3831,1.08194,0.98948,0.0013664,0.0013664,0.0013664
34,572.649,0.54673,0.75515,0.50674,0.97523,0.80889,0.79758,0.83334,0.6969,0.80379,0.79255,0.83163,0.6491,0.67146,1.41808,0.78745,0.94095,0.0013466,0.0013466,0.0013466
35,589.011,0.54938,0.77798,0.492,0.9898,0.86012,0.76884,0.83133,0.69842,0.86012,0.76884,0.83252,0.68175,0.6489,1.27943,0.84361,0.93411,0.0013268,0.0013268,0.0013268
36,605.748,0.54074,0.74528,0.48076,0.97189,0.81922,0.74874,0.77481,0.65113,0.81097,0.74121,0.76935,0.62238,0.67544,1.37289,0.94777,0.94874,0.001307,0.001307,0.001307
37,622.277,0.5541,0.77306,0.4828,0.99144,0.81039,0.78643,0.81827,0.68509,0.80409,0.79648,0.80753,0.64701,0.67028,1.31477,0.8455,0.98558,0.0012872,0.0012872,0.0012872
38,638.704,0.54651,0.73781,0.47583,0.97614,0.85527,0.77889,0.82665,0.70282,0.85728,0.78479,0.83001,0.68294,0.65349,1.21017,0.84156,0.96258,0.0012674,0.0012674,0.0012674
39,655.73,0.5362,0.73657,0.46003,0.96892,0.84019,0.79255,0.84142,0.70271,0.84285,0.79507,0.84378,0.69491,0.68925,1.14417,0.82557,0.95913,0.0012476,0.0012476,0.0012476
40,672.88,0.55307,0.74331,0.4726,0.97054,0.83158,0.76919,0.81717,0.70233,0.8343,0.7717,0.82154,0.68492,0.65268,1.2605,0.86073,0.93026,0.0012278,0.0012278,0.0012278
41,689.371,0.54135,0.76708,0.45153,0.96793,0.81494,0.78556,0.80652,0.67814,0.81764,0.78856,0.81069,0.6444,0.73794,1.33492,0.86694,0.9948,0.001208,0.001208,0.001208
42,705.854,0.51778,0.73188,0.46335,0.97116,0.86876,0.75628,0.82868,0.70382,0.86352,0.76131,0.82637,0.6806,0.66096,1.26882,0.80469,0.97091,0.0011882,0.0011882,0.0011882
43,722.378,0.52699,0.70865,0.46271,0.96754,0.8531,0.75377,0.80225,0.67906,0.85537,0.75879,0.8086,0.66388,0.66338,1.25031,0.85916,0.94484,0.0011684,0.0011684,0.0011684
44,738.918,0.53472,0.73854,0.46963,0.97619,0.86248,0.75126,0.83922,0.71696,0.86536,0.75377,0.84346,0.69441,0.64167,1.23645,0.78577,0.93962,0.0011486,0.0011486,0.0011486
45,756.024,0.52141,0.70057,0.4729,0.96259,0.85446,0.78894,0.82403,0.70742,0.85174,0.78643,0.81544,0.68413,0.63413,1.20846,0.78945,0.93052,0.0011288,0.0011288,0.0011288
46,772.707,0.51258,0.73171,0.45492,0.95039,0.86068,0.77607,0.82318,0.70864,0.85699,0.78293,0.82565,0.68415,0.66537,1.25333,0.83892,0.9339,0.001109,0.001109,0.001109
47,789.077,0.51713,0.72328,0.45338,0.9663,0.85352,0.77387,0.82627,0.7109,0.85352,0.77387,0.82967,0.69437,0.62823,1.25992,0.79398,0.9269,0.0010892,0.0010892,0.0010892
48,805.665,0.50967,0.67921,0.44315,0.95523,0.82987,0.77215,0.82586,0.70644,0.83257,0.77466,0.82996,0.68639,0.64421,1.34785,0.82707,0.92931,0.0010694,0.0010694,0.0010694
49,822.597,0.53013,0.73556,0.46072,0.9645,0.90617,0.76633,0.8308,0.71014,0.89024,0.76884,0.83378,0.6925,0.63233,1.13434,0.77196,0.92328,0.0010496,0.0010496,0.0010496
50,839.476,0.53004,0.72649,0.45539,0.97691,0.89011,0.76884,0.82107,0.70351,0.88642,0.76633,0.82118,0.68605,0.62647,1.2413,0.7743,0.95161,0.0010298,0.0010298,0.0010298
51,855.845,0.51583,0.69095,0.45508,0.95796,0.86773,0.77468,0.83065,0.71497,0.86491,0.77216,0.82393,0.68554,0.63961,1.25911,0.76761,0.93883,0.00101,0.00101,0.00101
52,872.238,0.48862,0.67981,0.41919,0.94362,0.8653,0.78141,0.84404,0.72837,0.8653,0.78141,0.84739,0.70512,0.61124,1.21755,0.78954,0.9123,0.0009902,0.0009902,0.0009902
53,888.743,0.50123,0.69108,0.419,0.95588,0.88813,0.78141,0.83493,0.72567,0.8864,0.78141,0.83686,0.71074,0.62018,1.23253,0.7677,0.9405,0.0009704,0.0009704,0.0009704
54,905.336,0.47757,0.66366,0.41617,0.94113,0.8603,0.78909,0.83981,0.72866,0.86304,0.79161,0.84312,0.70168,0.62342,1.28742,0.7651,0.93737,0.0009506,0.0009506,0.0009506
55,921.862,0.4967,0.66552,0.41108,0.96932,0.82945,0.76131,0.8246,0.70379,0.82945,0.76131,0.82854,0.68559,0.65614,1.26751,0.8291,0.9506,0.0009308,0.0009308,0.0009308
56,938.189,0.48936,0.69046,0.39832,0.94417,0.84571,0.79397,0.84014,0.72179,0.84317,0.79397,0.8338,0.70114,0.6098,1.23545,0.73337,0.92973,0.000911,0.000911,0.000911
57,954.529,0.48139,0.6573,0.40819,0.94354,0.83012,0.79806,0.82771,0.71945,0.83285,0.80121,0.83164,0.69711,0.62537,1.18941,0.78881,0.94672,0.0008912,0.0008912,0.0008912
58,970.872,0.48098,0.6325,0.40093,0.95084,0.87299,0.76633,0.8228,0.713,0.87586,0.76884,0.82293,0.6847,0.63468,1.18298,0.79073,0.93969,0.0008714,0.0008714,0.0008714
59,987.117,0.48294,0.66876,0.39317,0.94939,0.85607,0.81658,0.84267,0.73082,0.85607,0.81658,0.84436,0.70594,0.60126,1.20491,0.73412,0.92607,0.0008516,0.0008516,0.0008516
